公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
美的集团股份有限公司,美的集团IT,2000人以上,上市公司,番禺区,硬件,产品经理,全职,开发/测试/运维类,前端开发/移动开发,5-10年,本科,15k-25k,"六险一金,餐补,节日福利,免费体检","['5', '10']",7.5,"['15', '25']",17.5
广州市卓志物流服务有限公司,卓志,500-2000人,未融资,黄埔区,电子商务,产品经理,全职,产品/需求/项目类,项目管理,3-5年,大专,10k-18k,"团队活跃,架构扁平,学习空间大","['3', '5']",4.0,"['10', '18']",12.0
广东正品信息科技有限公司,正品集团,150-500人,未融资,天河区,移动互联网,高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,不限,15k-25k,"产品10人,技术80人,电商,扫码应用","['5', '10']",7.5,"['15', '25']",17.5
深圳格莱珉文化传播有限公司广州分公司,MAKA,50-150人,A轮,海珠区,"企业服务,移动互联网",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-22k,"产品好,数千万A融,年终奖励,带薪年假","['3', '5']",4.0,"['15', '22']",16.75
广州云移信息科技有限公司,掌贝（云移科技）,500-2000人,B轮,天河区,"移动互联网,O2O",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,20k-25k,42项福利 专业培训 晋升空间 团建社团,"['3', '5']",4.0,"['20', '25']",21.25
北京路客互联网科技有限公司,路客,150-500人,A轮,番禺区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,"共享经济,一日三餐,创始团队,期权激励","['3', '5']",4.0,"['10', '20']",12.5
广州天行客网络科技有限公司,广州天行客,50-150人,不需要融资,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,8k-13k,"五险一金,绩效奖金,餐饮补贴,团队氛围好","['3', '5']",4.0,"['8', '13']",9.25
广东重运宝科技有限公司,重运宝,50-150人,未融资,海珠区,移动互联网,产品经理,全职,产品/需求/项目类,项目管理,3-5年,大专,8k-16k,"做五休二,五险一金,扁平管理,团队活动","['3', '5']",4.0,"['8', '16']",10.0
广州梦映动漫网络科技有限公司,梦映动漫,50-150人,A轮,海珠区,"移动互联网,文化娱乐",产品经理,全职,产品/需求/项目类,项目管理,1-3年,本科,10k-18k,"周末双休,五险一金,年度旅行,年度体检","['1', '3']",2.0,"['10', '18']",12.0
广州致景信息科技有限公司,百布,150-500人,B轮,海珠区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,15k-20k,五险一金,"['3', '5']",4.0,"['15', '20']",16.25
广州芦苇信息科技有限公司,芦苇科技,15-50人,不需要融资,天河区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,5k-7k,"CEO导师,弹性上班,六险,扁平化管理","['1', '3']",2.0,"['5', '7']",5.5
广州智悦网络科技有限公司,智悅网络,50-150人,A轮,天河区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,7k-9k,"五险一金,优秀团队,下午茶,节日福利","['1', '3']",2.0,"['7', '9']",7.5
广州小树网络科技有限公司,小树科技,50-150人,不需要融资,天河区,"移动互联网,数据服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,9k-13k,"季度奖金,年终奖,周末双休,下午茶","['3', '5']",4.0,"['9', '13']",10.0
广州小迈网络科技有限公司,车主无忧,150-500人,A轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,8k-10k,"大牛多,团队年轻,双休弹性,平台宽","['1', '3']",2.0,"['8', '10']",8.5
广东芯智慧科技有限公司,保利芯智慧,50-150人,A轮,海珠区,"移动互联网,电子商务",产品经理-Saas,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,8k-10k,"五险一金,周末双休","['1', '3']",2.0,"['8', '10']",8.5
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-30k,"商业保险,自有园区,月活量高,氛围舒服","['3', '5']",4.0,"['15', '30']",18.75
氪金信息科技（天津）有限公司,Codrim,15-50人,天使轮,天河区,"移动互联网,广告营销",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,不限,15K-20K,"全球业务,大数据,广告营销,saas","['3', '5']",4.0,"['15', '20']",16.25
广州艺威电子科技有限公司,广州艺威电子科技有限公司,50-150人,不需要融资,白云区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,不限,1k-2k,"年终分红,五险一金,全勤然,绩效奖金","['1', '3']",2.0,"['1', '2']",1.25
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,金融,高级产品经理,全职,产品,产品经理,5-10年,本科,15k-25k,互联网金融 上市公司 健身房水果下午茶,"['5', '10']",7.5,"['15', '25']",17.5
惠州市蓝库网络科技有限公司,蓝库,15-50人,不需要融资,番禺区,"企业服务,移动互联网",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,8k-16k,"包吃包住,做五休二,期权激励,发展空间大","['1', '3']",2.0,"['8', '16']",10.0
广州臻爱教育科技有限公司,臻爱教育,少于15人,未融资,海珠区,教育,产品经理/助理 Product Manager,全职,产品/需求/项目类,产品设计/需求分析,不限,大专,8k-15k,"五险一金,享双休年假,学习空间大,快乐工作",[],0.0,"['8', '15']",9.75
上海翡翠东方网络信息技术有限公司,翡翠东方TVBC,15-50人,不需要融资,天河区,文化娱乐,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-25k,"领导好,项目潜力大,公司福利好,发展空间大","['3', '5']",4.0,"['15', '25']",17.5
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-20k,1亿用户交你任性，项目提成丰厚,"['1', '3']",2.0,"['10', '20']",12.5
广州爱范儿科技股份有限公司,爱范儿,50-150人,上市公司,海珠区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,8k-12k,"大牛多,环境好,周末双休,五险一金","['1', '3']",2.0,"['8', '12']",9.0
广州奇艺果信息科技有限公司,奇艺果,50-150人,C轮,海珠区,"移动互联网,电子商务",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,15k-22k,"高前景,高发展,高薪资,扁平化","['1', '3']",2.0,"['15', '22']",16.75
广州市圣湘琳信息科技有限公司,广州市圣湘琳信息科技有限公司,15-50人,天使轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,7k-14k,"扁平化管理,地铁周边,公司氛围好,前进与蜕变","['1', '3']",2.0,"['7', '14']",8.75
铂涛信息技术（广州）有限公司,铂涛旅行,500-2000人,未融资,海珠区,"移动互联网,旅游",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,20k-33k,"五险一金,绩效奖金,周末双休,超一亿会员","['5', '10']",7.5,"['20', '33']",23.25
前海易物（深圳）电子商务有限公司广州分公司,前海易物,150-500人,A轮,海珠区,"电子商务,移动互联网",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8K-15K,"班车接送,公司氛围好,7.5小时","['3', '5']",4.0,"['8', '15']",9.75
深圳市世云新媒体有限公司,互动大师iH5.cn,50-150人,B轮,海珠区,数据服务,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,8k-16k,"领域第一,产品很强,产品地位高,带薪年假","['1', '3']",2.0,"['8', '16']",10.0
广州合摩计算机科技有限公司,爱员工,150-500人,B轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-30k,"拟上市公司,开放氛围,共享,团队融洽","['3', '5']",4.0,"['15', '30']",18.75
浙江星飞信息技术有限公司,星飞,150-500人,天使轮,天河区,游戏,​产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,8k-15k,"五险一金,周末双休,绩效奖金,餐补","['1', '3']",2.0,"['8', '15']",9.75
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,金融,产品经理/产品总监,全职,产品,产品经理/产品设计师,5-10年,本科,30k-35k,五险一金、周末双休、股期权、年终奖,"['5', '10']",7.5,"['30', '35']",31.25
广州零美生物医药科技有限公司,零美云合,15-50人,未融资,天河区,"移动互联网,医疗健康",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,6k-10k,"团队活动多,妹纸多,五险一金","['3', '5']",4.0,"['6', '10']",7.0
广东天泽阳光康众医疗投资管理有限公司,阳光康众,50-150人,A轮,海珠区,"移动互联网,医疗健康",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,10k-20k,"双休,七险一金,带薪假期,节日福利","['3', '5']",4.0,"['10', '20']",12.5
广州美迪迪网络科技有限公司,美迪迪,50-150人,不需要融资,番禺区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,10k-12k,"双休,五险一金,近地铁,环境高大上","['1', '3']",2.0,"['10', '12']",10.5
广州麦多特投资有限公司,麦多特,15-50人,不需要融资,萝岗区,"移动互联网,医疗健康",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,18K-30K,"股权激励,14天年假,团队棒,有前景","['3', '5']",4.0,"['18', '30']",21.0
广州荔支网络技术有限公司,荔枝,150-500人,D轮及以上,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,20k-25k,发展空间大,"['1', '3']",2.0,"['20', '25']",21.25
广州牧云网络科技有限公司,美甲帮,150-500人,B轮,天河区,移动互联网,资深产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-25k,"五险一金,团队氛围好,成长空间大","['3', '5']",4.0,"['15', '25']",17.5
广州合利宝支付科技有限公司,合利宝,150-500人,上市公司,天河区,"移动互联网,金融",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-18k,"发展空间大,专业培训,薪酬福利好,CBD办公","['1', '3']",2.0,"['10', '18']",12.0
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,30W无息贷款购房,"['3', '5']",4.0,"['10', '20']",12.5
TCL集团财务有限公司,TCL金融控股集团,150-500人,未融资,越秀区,金融,产品经理,全职,市场/商务/销售类,品牌/广告,3-5年,本科,8k-16k,待遇佳福利好平台广,"['3', '5']",4.0,"['8', '16']",10.0
广州市百果园网络科技有限公司,Bigo,500-2000人,D轮及以上,番禺区,"移动互联网,社交网络",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-20k,"发展空间大,工作氛围好,薪酬福利好,团队大牛多","['1', '3']",2.0,"['10', '20']",12.5
广州天一坊皮具有限公司,天一坊,15-50人,天使轮,,移动互联网 O2O,产品经理,全职,产品/需求/项目类,产品设计/需求分析,不限,本科,15K-25K,发展前景良好,[],0.0,"['15', '25']",17.5
广东蜂助手网络技术股份有限公司,蜂助手,150-500人,上市公司,天河区,移动互联网,高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-20k,"待遇优厚,完整团队,挑战平台,活力氛围","['5', '10']",7.5,"['15', '20']",16.25
广州新炬信息科技有限公司,IMPLUS,15-50人,不需要融资,天河区,移动互联网,中高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-30k,"发挥空间大,弹性灵活,福利赞,锻炼英文","['3', '5']",4.0,"['15', '30']",18.75
氪金信息科技（天津）有限公司,Codrim,15-50人,天使轮,天河区,"移动互联网,广告营销",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,10K-20K,"五险一金,双休,岗位职责,活动多","['1', '3']",2.0,"['10', '20']",12.5
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,金融,高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,20k-25k,"牛人多,福利好,互联网金融","['5', '10']",7.5,"['20', '25']",21.25
广州名医汇健康管理信息技术合伙企业（有限合伙）,名医汇,15-50人,未融资,越秀区,"移动互联网,医疗健康",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15K-25K,股份/期权，绩效,"['3', '5']",4.0,"['15', '25']",17.5
广东省出版集团数字出版有限公司,出版集团数字公司,50-150人,上市公司,越秀区,"移动互联网,教育",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-15k,"五险一金,年终奖金,带薪年假,绩效奖金","['3', '5']",4.0,"['8', '15']",9.75
广州太平洋电脑信息咨询有限公司,太平洋网络有限公司,500-2000人,上市公司,天河区,"电子商务,生活服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"上市公司,年终奖金,五险一金","['3', '5']",4.0,"['10', '15']",11.25
广州卓艺文化传媒有限公司,卓艺传媒,少于15人,未融资,番禺区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-15k,"五险一金,期权鼓励,带薪年假,节日福利","['1', '3']",2.0,"['10', '15']",11.25
上海游民网络科技有限公司,3K游戏,150-500人,不需要融资,天河区,"游戏,移动互联网",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,7k-14k,"双休,六险一金,年终奖,包餐","['1', '3']",2.0,"['7', '14']",8.75
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,"移动互联网,电子商务",产品经理,全职,市场/商务/销售类,市场/营销,1-3年,本科,8k-15k,福利好,"['1', '3']",2.0,"['8', '15']",9.75
广州市万表科技股份有限公司,万表,150-500人,B轮,番禺区,"移动互联网,电子商务",电商产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,"平台发展好,周末双休,五险一金,包工作餐","['3', '5']",4.0,"['10', '20']",12.5
广州金鹏集团有限公司,金鹏,2000人以上,未融资,天河区,"信息安全,硬件",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,8k-10k,"团队年轻,机会多","['1', '3']",2.0,"['8', '10']",8.5
广州市星空学堂网络科技有限公司,星空学堂,15-50人,天使轮,天河区,"移动互联网,其他",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,5k-8k,"环境清雅,弹性上班,年轻团队,发展潜力","['1', '3']",2.0,"['5', '8']",5.75
广东优计划科技有限公司,优计划科技,50-150人,未融资,天河区,"移动互联网,企业服务",中级产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,9k-15k,"距离地铁近,牛人多,发展前景,每周下午茶","['1', '3']",2.0,"['9', '15']",10.5
广东医群科技有限公司,名医传世,50-150人,B轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-10k,"发展空间广,双休,五险一金,互联网医疗","['3', '5']",4.0,"['8', '10']",8.5
广州南贯五洲电子商务有限公司,南贯五洲,150-500人,B轮,天河区,电子商务,产品经理（D）,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,10k-15k,"周末双休,五险","['1', '3']",2.0,"['10', '15']",11.25
广东俊特团贷网络信息服务股份有限公司,团贷网,2000人以上,C轮,天河区,"移动互联网,金融",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-15k,"TOP10,发展快,福利全,空间大","['3', '5']",4.0,"['8', '15']",9.75
广州数夫软件科技有限公司,数夫软件,150-500人,未融资,天河区,移动互联网,互联网产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,"五险一金,年终奖金,员工旅游,专业培训","['3', '5']",4.0,"['10', '20']",12.5
广州市特蕾美生物科技有限公司,广州特蕾美,50-150人,未融资,天河区,"移动互联网,生活服务",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-25k,"扁平管理,自由发挥,下午茶点心,薪酬福利好","['5', '10']",7.5,"['15', '25']",17.5
广州跨界网络技术有限公司,跨界网络,50-150人,不需要融资,越秀区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,10k-16k,"社保,旅游,晋升,奖金","['3', '5']",4.0,"['10', '16']",11.5
广州宏途教育网络科技有限公司,宏途教育,50-150人,A轮,黄埔区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-15k,"五险一金,周末双休,带薪年假,免费班车","['3', '5']",4.0,"['8', '15']",9.75
浙江星飞信息技术有限公司,星飞,150-500人,天使轮,天河区,游戏,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,15k-25k,"五险一金,年度奖金,餐补,周末双休","['1', '3']",2.0,"['15', '25']",17.5
美的集团股份有限公司,美的集团IT,2000人以上,上市公司,番禺区,硬件,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-20k,"六险一金,餐补,节日福利,免费体检","['3', '5']",4.0,"['15', '20']",16.25
广州市骑鹅游信息技术咨询服务有限公司,骑鹅旅行,50-150人,A轮,海珠区,"旅游,数据服务",产品经理,全职,产品,产品经理/产品设计师,3-5年,本科,10k-20k,五险一金、15天带薪年假、带薪病假,"['3', '5']",4.0,"['10', '20']",12.5
全城握手（广州）科技有限公司,全城握手,15-50人,天使轮,天河区,"移动互联网,社交网络",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"多次调薪,五险一金,福利齐全,员工旅游","['3', '5']",4.0,"['10', '15']",11.25
广州市中智软件开发有限公司,中智软件,150-500人,不需要融资,越秀区,其他,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"绩效奖金,下午茶,年终奖","['3', '5']",4.0,"['10', '15']",11.25
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-20k,30万购房无息贷款 五险一金 公司期权,"['1', '3']",2.0,"['10', '20']",12.5
广州经传多赢投资咨询有限公司,经传多赢,2000人以上,不需要融资,番禺区,"移动互联网,金融",产品经理/产品专员,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,6k-12k,"五险一金,绩效奖金,年底多薪,员工旅游","['1', '3']",2.0,"['6', '12']",7.5
广州真境信息科技有限公司,真境,15-50人,天使轮,天河区,"移动互联网,O2O",产品经理,全职,产品/需求/项目类,数据分析,1-3年,大专,10k-15k,"五险一金,带薪年假,双休,节假日福利","['1', '3']",2.0,"['10', '15']",11.25
京滴信息科技（广州）有限公司,京滴科技,15-50人,A轮,天河区,"移动互联网,数据服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,8k-15k,"五险一金,股份期权,晋升空间大,帅哥美女多","['1', '3']",2.0,"['8', '15']",9.75
广州七乐康药业连锁有限公司,七乐康,500-2000人,C轮,荔湾区,"电子商务,医疗健康",供应链产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,"互联网医疗,地铁旁,双休,弹性工作","['3', '5']",4.0,"['10', '20']",12.5
广州威尔森信息科技有限公司,Ways,150-500人,未融资,天河区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,8k-15k,六险一金,"['5', '10']",7.5,"['8', '15']",9.75
广州富米科技有限公司,一手服装批发APP,150-500人,A轮,荔湾区,"移动互联网,电子商务",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-25k,"原始股激励,市场空间大,成长快","['5', '10']",7.5,"['15', '25']",17.5
广州军令状教育咨询有限责任公司,军令状教育,15-50人,不需要融资,天河区,"教育,游戏",产品经理,全职,产品/需求/项目类,管理岗,1-3年,硕士,12K-20K,可成重要股东、合伙人,"['1', '3']",2.0,"['12', '20']",14.0
广州市人心网络科技有限公司,壹心理,50-150人,B轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-15k,"餐补,弹性上下班,年终绩效","['1', '3']",2.0,"['10', '15']",11.25
广州华多网络科技有限公司,欢聚时代（YY Inc）,2000人以上,上市公司,番禺区,移动互联网,产品经理 (MJ000892),全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,10k-20k,"平台大,福利多","['5', '10']",7.5,"['10', '20']",12.5
广州虎将网络科技有限公司,新工厂,少于15人,不需要融资,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,4k-8k,成长空间大,"['1', '3']",2.0,"['4', '8']",5.0
广州久邦世纪科技有限公司,久邦GOMO,500-2000人,上市公司,越秀区,移动互联网,高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-30k,"弹性上班,交通便利,团队奖金,扁平管理","['3', '5']",4.0,"['15', '30']",18.75
广州市巴图鲁信息科技有限公司,巴图鲁公司,150-500人,C轮,海珠区,电子商务,产品经理,全职,产品,产品经理,1-3年,本科,8k-15k,弹性制、双休制、扁平化、oh思维活跃~,"['1', '3']",2.0,"['8', '15']",9.75
广州昊誉信息科技有限公司,昊誉,50-150人,不需要融资,天河区,"移动互联网,教育",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"平台大,福利齐全,假期多,待遇好","['3', '5']",4.0,"['10', '15']",11.25
广州多融信息科技有限公司,广州多融信息科技有限公司,15-50人,未融资,天河区,金融,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,8k-15k,"五险一金,下午茶,包午餐,年终奖","['1', '3']",2.0,"['8', '15']",9.75
深圳市心迹教育科技有限责任公司,心迹教育~,15-50人,天使轮,番禺区,"O2O,教育",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-12k,"五险一金,周末双休,交通便利,扁平化管理","['1', '3']",2.0,"['10', '12']",10.5
广州探迹科技有限公司,探迹,50-150人,B轮,番禺区,"数据服务,企业服务",产品经理（C端）,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-20k,"大数据AI,扁平管理,五险一金,期权激励","['1', '3']",2.0,"['10', '20']",12.5
广东曼拓信息科技有限公司,广东曼拓信息科技有限公司,50-150人,上市公司,天河区,"广告营销,移动互联网",DSP产品经理/高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-25k,"定期体检,六险一金,年度旅游,良好的氛围","['5', '10']",7.5,"['15', '25']",17.5
广东省善易交互设计研究院,IXDC,15-50人,天使轮,天河区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"设计教育,接触大咖,办公环境好","['3', '5']",4.0,"['10', '15']",11.25
广州勇往科技有限公司,勇往科技,50-150人,A轮,越秀区,"移动互联网,O2O",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-16k,"周末双休,五险一金,带薪年假,股权期权","['3', '5']",4.0,"['8', '16']",10.0
